INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT,VALOR UNITÁRIO,VALOR TOTAL,ISBN-13,ISBN-10,REFERÊNCIA,CONFIABILIDADE TOTAL
INFANTIL,A FESTA DO PIJAMA,DANIELLE MENESES,TIMBÚ,900,49,44100,9789892312699,9892312694,https://www.abebooks.com/9789892312699/Festa-Pijama-Portuguese-Edition-Lauren-9892312694/plp: Alta | https://www.amazon.com.br/Peppa-Festa-Pijama-Neville-Astley/dp/8516092712: Alta | https://www.amazon.com/Festa-do-Pijama-Portuguese/dp/9892312694: Baixa | https://www.amazon.com/Maria-Lua-Festa-Do-Pijama/dp/989668782X: Baixa | https://www.wook.pt/livro/a-festa-do-pijama-lauren-cecil/10400153: Muito Baixa | ,Baixa
INFANTIL,BAMBU,MARINA GADELHA,TIMBÚ,900,45,40500,9786599398698,6599398693,https://www.amazon.com/BAMBU-MARINA-GADELHA/dp/6599398693: Alta | https://www.bookfinder.com/isbn_search/: Baixa | https://isbnlookup.org/: Baixa | https://booktrapper.com/isbn-lookup: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
INFANTIL,BICHOS DO MANGUE,LIA CABRAL,TIMBÚ,900,46,41400,,"659939860X  
ISBN-13: 9786599398605",https://www.amazon.com/BICHOS-DO-MANGUE-LIA-CABRAL/dp/659939860X: Alta | ,Alta
INFANTIL,CONTE COMIGO,ROBSON RENATO,TIMBÚ,900,46,41400,9788594228215,859422821X,https://www.m3editora.com.br/conte-comigo: Alta | https://www.amazon.ca/CONTE-COMIGO-ROBSON-RENATO/dp/859422821X: Alta | https://www.youtube.com/watch?v=8f4OfnR1ffY: Baixa | https://www.amazon.com.br/Conte-Comigo-Robson-Renato/dp/859422821X: Baixa | https://www.bookfinder.com/isbn_search/: Baixa | ,Baixa
INFANTIL,"MARINO, O CAVALO MARINHO",GABRIELA BARBALHO,TIMBÚ,900,46,41400,9788569318142,8569318149,"https://www.estantevirtual.com.br/busca/o-cavalo-marinho: Alta | http://www.google.com/search?hl=en&q=isbn+10+or+isbn+13+for+book+""MARINO,+O+CAVALO+MARINHO""+by+author+""GABRIELA+BARBALHO""+published+by+""TIMBÚ""+15/04/2025: Muito Baixa | ",Baixa
INFANTIL,O ALFABETO DE DORINHA,MANOEL CAVALCANTE,TIMBÚ,900,49,44100,978-8594228239; ISBN-10: 8594228236.,,https://www.amazon.com/-/es/MANOEL-CAVALCANTE/dp/8594228236: Alta | https://www.amazon.com/-/he/MANOEL-CAVALCANTE/dp/8594228236: Alta | https://www.mercadolivre.com.br/o-alfabeto-de-dorinha-manoel-cavalcante-m3-editora/p/MLB20706989: Alta | https://www.m3editora.com.br/o-alfabeto-de-dorinha?srsltid=AfmBOopCQPIA6gcGzJim3PFOTEhOqHc97AoKULjaqP06hgKolTHcNQl7: Alta | ,Alta
,,,,,,9009000,,,https://bookscouter.com/blog/isbn-lookup/: Alta | https://www.bookfinder.com/isbn_search/: Baixa | https://booktrapper.com/isbn-lookup: Baixa | https://isbnlookup.org/: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
,,,,,,,,,https://bookscouter.com/blog/isbn-lookup/: Alta | https://www.bookfinder.com/isbn_search/: Baixa | https://booktrapper.com/isbn-lookup: Baixa | https://isbnlookup.org/: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
,,,,,,,,,https://bookscouter.com/blog/isbn-lookup/: Alta | https://www.bookfinder.com/isbn_search/: Baixa | https://booktrapper.com/isbn-lookup: Baixa | https://isbnlookup.org/: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT,VALOR UNITÁRIO,VALOR TOTAL,,06196436; ISBN-13: 975-1-543211-04-4,https://bookscouter.com/blog/isbn-10-vs-isbn-13-the-difference/: Baixa | https://bookscouter.com/blog/isbn-lookup/: Baixa | https://figuresmagazine.com/whats-the-difference-between-isbn-10-and-isbn-13/: Baixa | https://www.isbnservices.com/isbn-10-vs-isbn-13/: Baixa | https://freeisbn.com/isbn-example/: Muito Baixa | ,Baixa
FUNDAMENTAL I,A VINGANÇA DE CHARLES TIBURONE,JOÃO UBALDO RIBEIRO,ALFAGUARA,1000,50,50000,9788532529007,8532529009,,
FUNDAMENTAL I,BANDEIRA DE SÃO JOÃO ,RONALDO CORREIA,ALFAGUARA,1000,53,53000,9788579621208,8579621208,https://www.indicalivros.com/livros/bandeira-de-sao-joao-assis-lima-ronaldo-correia-de-brito: Muito Alta | https://www.skoob.com.br/livro/pdf/bandeira-de-sao-joao/livro:893014/edicao:899014: Alta | https://www.americanas.com.br/produto/110766277/livro-bandeira-de-sao-joao: Alta | https://www.skoob.com.br/bandeira-de-sao-joao-893014ed899014.html: Alta | https://proximolivro.net/bandeira-de-sao-joao/194215: Baixa | ,Alta
FUNDAMENTAL I,A MOURA QUE NÃO ERA TORTA,ARLENE HOLANDA,ARMAZEM DA CULTURA,1000,64,64000,978-85-63171-58-0,,https://armazemdacultura.com.br/products/a-moura-que-nao-era-torta: Muito Alta | https://www.facebook.com/ArmazemCulturaFanpage/posts/editora-armazém-da-cultura-tem-livro-de-arlene-holanda-selecionado-para-escolas-/1769899026491738/: Alta | https://armazemdacultura.shop/product/a-moura-que-nao-era-torta-4o-5o-6o-ano/: Baixa | ,Alta
FUNDAMENTAL I,E SE EU PUDESSE COMER AS CORES?,ANGELO MENDES,BAGAÇO,1000,42,42000,9789897076377,9789897076360,,
FUNDAMENTAL I,MIUDINHA ,JESSIER QUIRINO,BAGAÇO,1000,32,32000,9788574096046,85-7409-604-X,https://www.bagaco.com.br/produtos/miudinha-jessier-quirino1/: Muito Alta | https://www.amazon.com.br/Miudinha-Quirino-Jessier/dp/8574096040: Alta | https://www.bookfinder.com/isbn_search/: Baixa | https://www.abebooks.com/books/search-number-code-10-13-digit/isbn.shtml: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
FUNDAMENTAL I,O GATINHO DO RABO MALHADO,ELITA FERREIRA,BAGAÇO,1000,38,38000,978-85-67890-12-3,85-67890-12-1,,
FUNDAMENTAL I,OS SETE CANDELABROS DE OURO ,MARIA DA GLORIA FREITAS,BAGAÇO,1000,39,39000,9788560931996,856093199X,https://livrariaarcoiris.com/produto/os-sete-candelabros-de-ouro/: Muito Alta | https://www.bagaco.com.br/produtos/os-sete-candelabros-de-ouro-maria-da-gloria-freitas/: Muito Alta | https://www.estantevirtual.com.br/livros/maria-da-gloria-freitas/os-sete-candelabros-de-ouro/1387079990: Alta | https://www.amazon.com.br/Sete-Candelabros-Maria-Gloria-Freitas/dp/8560931996: Alta | https://openlibrary.org/books/OL4458267M/Sete_candelabros_de_ouro: Baixa | ,Alta
FUNDAMENTAL I,HAICONTOS DE FADAS,OBRA COLETIVA,BAMBOLÊ,1000,50,50000,9788569470311,8569470312,https://www.abebooks.com/9788569470311/haicontos-fadas-edna-bueno-outros-8569470312/plp: Muito Alta | https://www.bookfinder.com/isbn_search/: Baixa | https://www.abebooks.com/books/search-number-code-10-13-digit/isbn.shtml: Baixa | https://booktrapper.com/isbn-lookup: Muito Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
FUNDAMENTAL I,VAMOS APOSTAR CORRIDA,HENRIQUE VALE,BAMBOLÊ,1000,50,50000,8569470118,09788569470113,https://loja.editorabambole.com.br/vamos-apostar-corrida: Alta | https://escritorhenriquevale.blogspot.com/p/autor.html: Alta | https://www.mercadolivre.com.br/vamos-apostar-corrida/p/MLB20986208: Alta | https://www.amazon.com.br/vamos-apostar-corrida-henrique-vale/dp/8569470118: Baixa | https://www.abebooks.co.uk/book-search/author/henrique-vale/: Baixa | ,Alta
FUNDAMENTAL I,AURORA A BARATINHA,LENICE GOMES,BRASIL TROPICAL,1000,45,45000,978-85-99982-13-6. ISBN-10: 0-999982-13-X.,,https://sites.google.com/view/brasiltropical/catálogo: Alta | https://www.instagram.com/brasiltropicaleditora/: Baixa | https://www.estantevirtual.com.br/busca/lenice-gomes: Baixa | https://www.isbnservices.com/isbn-10-vs-isbn-13/: Muito Baixa | https://booktrapper.com/isbn-lookup: Muito Baixa | ,Baixa
FUNDAMENTAL I,BERNARDO SOB O CÉU ESTRELADO,VINÍCIOS FERRAZ,BRASIL TROPICAL,1000,45,45000,9788582711742,8582711747,,
FUNDAMENTAL I,MARIA E MARIA,"LENICE GOMES, GLAÚCIA DE SOUZA",BRASIL TROPICAL,1000,40,40000,9788582182434,8582182439,,
FUNDAMENTAL I,"CL - MISTERIO DA MUMIA, O - 1 ED - BR",WIDMARK MARTIN,CALLIS,1000,53,53000,9788534800017,8534800017,,
FUNDAMENTAL I,CL - MISTERIO DO CINEMA - 1ED - BR,WIDMARK MARTIN,CALLIS,1000,53,53000,978-8574990012,8574990017,,
FUNDAMENTAL I,"CL - MISTERIO DO HOTEL, O - 1ED - BR",WIDMARK MARTIN,CALLIS,1000,53,53000,978-8530710000,853071000X,,
FUNDAMENTAL I,"CL - MISTERIO DOS DIAMANTES, O - 2ED - BR",WIDMARK MARTIN,CALLIS,1000,53,53000,9788574093427,8574093427,,
FUNDAMENTAL I,CL - QUEM VAI FICAR COM O PESSEGO - TAN TAN - 2ED,YOON AH-HAE,CALLIS,1000,53,53000,978-85-7883-099-5,85-7883-099-9,,
FUNDAMENTAL I,CL - QUER LER UM LIVRO COMIGO? - 1ED - BR,LAWRENCE SCHIMEL,CALLIS,1000,53,53000,978-85-98611-00-8; ISBN-10: 85-98611-00-7,,https://www.buscaisbn.com.br/: Baixa | https://askanydifference.com/pt/difference-between-isbn-10-and-isbn-13-with-table/: Baixa | https://pt.differkinome.com/articles/life-style/difference-between-isbn-10-and-isbn-13-2.html: Baixa | https://isbnsearch.org/: Muito Baixa | https://cidesp.com.br/artigo/isbn-consulta/: Muito Baixa | ,Baixa
FUNDAMENTAL I,EMÍLIA,SOCORRO ACIOLLI,CASA DA PALAVRA,1000,50,50000,978-8577344819,9788577344819,https://www.mercadolivre.com.br/emilia-de-acioli-socorro-editorial-casa-da-palavra-leya-tapa-mole-edicion-1-en-portugus/p/MLB26463967: Alta | https://www.amazon.com.br/Emília-Biografia-Autorizada-Marquesa-Rabicó/dp/8577344819: Alta | https://produto.mercadolivre.com.br/MLB-2745955115-livro-emilia-acioli-socorro-_JM: Alta | https://www.abebooks.com/9788577344819/Emilia-Uma-Biografia-Nao-Autorizada-8577344819/plp: Baixa | https://livrariapublica.com.br/livros/emilia-uma-biografia-nao-autorizada-da-marquesa-de-rabico-socorro-acioli/: Baixa | ,Alta
FUNDAMENTAL I,A DESCOBERTA DA AMÉRICA PELOS TURCOS,JORGE AMADO,COMPANHIA DAS LETRAS,1000,55,55000,9788535912401,,https://www.companhiadasletras.com.br/livro/9788535912401/a-descoberta-da-america-pelos-turcos?srsltid=AfmBOorRO6wtDRTy_5W8k0ueDybQ49QiXiQxhZOWpXtnBbt7jkL9BrMo: Alta | ,Alta
FUNDAMENTAL I,A JANGADA DE PEDRA,JOSÉ SARAMAGO,COMPANHIA DAS LETRAS,1000,73,73000,978-8585095796,8585095792,https://www.amazon.com/Jangada-Pedra-Jose-Saramago/dp/8585095792: Muito Alta | https://www.abebooks.com/book-search/title/jangada-pedra/author/saramago/: Muito Alta | https://www.abebooks.co.uk/book-search/title/a-jangada-de-pedra/author/jose-saramago/: Muito Alta | https://www.amazon.com/jangada-pedra-Portuguese-Jose-Saramago/dp/9722102893: Alta | https://www.companhiadasletras.com.br/livro/9788535908060/a-jangada-de-pedra?srsltid=AfmBOoo8guImc3Z-kh49a8jtFHLxGSeKVkVtjNf_AcOEIiTBxlM98qXZ: Alta | ,Alta
FUNDAMENTAL I,A VIAGEM DO ELEFANTE (NOVA EDIÇÃO),JOSÉ SARAMAGO,COMPANHIA DAS LETRAS,1000,68,68000,9788535930375,853593037X,https://www.abebooks.com/9788535930375/viagem-elefante-Nova-edicao-Portugues-853593037X/plp: Muito Alta | https://www.abebooks.com/9789720046505/viagem-elefante-José-Saramago-9720046503/plp: Alta | https://www.amazon.com/Viagem-Do-Elefante-Jose-Saramago/dp/9722120174: Alta | https://www.amazon.com/A-viagem-do-elefante/dp/9720046503: Alta | https://www.amazon.com.br/viagem-elefante-Nova-edição/dp/853593037X: Baixa | ,Alta
FUNDAMENTAL I,COMPADRE DE OGUM ,JORGE AMADO,COMPANHIA DAS LETRAS,1000,50,50000,9788535920628,,https://www.companhiadasletras.com.br/livro/9788535920628/o-compadre-de-ogum?srsltid=AfmBOorF34y048BpT_2TEtMG4kt3ChCZvxg6AzvFuXogZ2Ddsq9-CUUs: Alta | ,Alta
FUNDAMENTAL I,O SUMIÇO DA SANTA,JORGE AMADO,COMPANHIA DAS LETRAS,1000,83,83000,9788535916027,8535916024,https://www.abebooks.com/book-search/kw/o-sumi�o-da-santa-amado-jorge/: Muito Alta | https://www.amazon.com/-/es/Sumiço-Santa-Uma-história-feitiçaria/dp/8535916024: Alta | https://www.amazon.com/Sumiço-Santa-Uma-história-feitiçaria/dp/8535916024: Alta | https://www.abebooks.com/9788535916027/Sumiço-Santa-Uma-história-feitiçaria-8535916024/plp: Baixa | https://www.amazon.com.br/sumiço-santa-Jorge-Amado/dp/8535916024: Baixa | ,Alta
FUNDAMENTAL I,OS ÁSPEROS TEMPOS,JORGE AMADO,COMPANHIA DAS LETRAS,1000,68,68000,9788535919288,8535919287,https://braziliancd.com/en/9/51201-os-asperos-tempos-jorge-amado-9788535919288.html: Muito Alta | https://www.companhiadasletras.com.br/livro/9788535919288/os-asperos-tempos?ciaSession=Permission+denied: Alta | https://www.abebooks.com/9788535919288/Ásperos-Tempos-Portuguese-Brasil-Jorge-8535919287/plp: Alta | https://books.google.com/books/about/Os_ásperos_tempos.html?id=z_lv9KqW09MC: Alta | https://www.amazon.com.br/Os-ásperos-tempos-Jorge-Amado/dp/8535919287: Alta | ,Alta
FUNDAMENTAL I,A BOLA E O GOLEIRO,JORGE AMADO,COMPANHIA DAS LETRINHAS,1000,44,44000,9788574063300,8574063304,https://shopee.com.br/Livro-A-bola-e-o-goleiro-por-Jorge-Amado-i.1013393104.21797985163: Muito Alta | https://www.amazon.com.br/bola-goleiro-Jorge-Amado/dp/8574063304: Muito Alta | https://www.amazon.de/-/en/Bola-Goleiro-Brasilianisch-Portugiesisch/dp/8574063304: Muito Alta | https://www.jorgeamado.org.br/loja/a-bola-e-o-goleiro/: Alta | https://www.companhiadasletras.com.br/livro/9788574063300/a-bola-e-o-goleiro?srsltid=AfmBOooo3MTFVvnaLaZYNJ9xVYfX1dLQS1BYCLCvpd8E3SEaMINH_K9a: Alta | ,Alta
FUNDAMENTAL I,A RATINHA BRANCA DE PÉ-DE-VENTO E A BAGAGEM DE OTÁLIA,JORGE AMADO,COMPANHIA DAS LETRINHAS,1000,55,55000,9788532523384,8532523387,,
FUNDAMENTAL I,BRANCA DE NEVE E AS SETE VERSÕES,"TORERO, JOSÉ ROBERTO; PIMENTA, MARCUS AURELIUS",COMPANHIA DAS LETRINHAS,1000,58,58000,978-85-7406-738-4,8574067387,https://www.companhiadasletras.com.br/livro/9788574067384/branca-de-neve-e-as-sete-versoes: Muito Alta | https://www.buscaisbn.com.br/: Baixa | https://www.bookfinder.com/isbn_search/: Muito Baixa | https://www.biblio.com/isbn/: Muito Baixa | https://books.google.com/: Muito Baixa | ,Baixa
FUNDAMENTAL I,BREVÍSSIMA HISTÓRIA DE QUASE TUDO,BILL BRYSON,COMPANHIA DAS LETRINHAS,1000,78,78000,9788574064161,8574064165,https://www.abebooks.com/9788574064161/Brevissima-Historia-Quase-Tudo-Portugues-8574064165/plp: Muito Alta | https://www.companhiadasletras.com.br/livro/9788535907247/: Alta | https://www.amazon.com/Brevíssima-História-Quase-Portuguese-Brasil/dp/8574064165: Alta | https://www.companhiadasletras.com.br/livro/9788574064161/: Alta | https://www.amazon.com.br/Breve-história-quase-tudo-Bryson/dp/8535907246: Baixa | ,Alta
FUNDAMENTAL I,CHAPEUZINHOS COLORIDOS,"TORERO, JOSÉ ROBERTO; PIMENTA, MARCUS AURELIUS",COMPANHIA DAS LETRINHAS,1000,58,58000,9786581776626,8539000423,https://www.mundolapis.com.br/produto/chapeuzinhos-coloridos-jose-roberto-torero-companhia-das-letrinhas.html: Alta | https://www.amazon.com.br/Chapeuzinhos-coloridos-edição-Roberto-Torero/dp/6581776629: Alta | https://www.companhiadasletras.com.br/livro/9786581776626/chapeuzinhos-coloridos: Alta | https://www.amazon.com/Chapeuzinhos-Coloridos-Em-Portugues-Brasil/dp/8539000423: Alta | https://www.bookfinder.com/isbn_search/: Muito Baixa | ,Alta
FUNDAMENTAL I,DEZ BONS CONSELHOS DE MEU PAI,JOÃO UBALDO RIBEIRO,COMPANHIA DAS LETRINHAS,1000,50,50000,978-85-7406-782-7 ISBN-10: 9788574067827,,https://www.companhiadasletras.com.br/livro/9788574067827/dez-bons-conselhos-de-meu-pai?srsltid=AfmBOoqALbnvGoLGwiTx7N78zcjY83rbUi_JfuY9HYODDATwOEkv-Wnd: Muito Alta | ,Muito Alta
FUNDAMENTAL I,EI! TEM ALGUÉM AÍ?,JOSTEIN GAARDER,COMPANHIA DAS LETRINHAS,1000,58,58000,978-85-359-1555-6,085359155X,https://www.books-by-isbn.com/85-359/index8.html: Alta | https://www.books-by-isbn.com/85-7164/: Alta | https://www.books-by-isbn.com/85-359/index2.html: Baixa | https://www.bookfinder.com/isbn_search/: Muito Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
FUNDAMENTAL I,GATO MALHADO E A ANDORINHA SINHÁ,JORGE AMADO,COMPANHIA DAS LETRINHAS,1000,50,50000,9788574063423.,8574063428,https://www.bertrand.pt/livro/o-gato-malhado-e-a-andorinha-sinha-jorge-amado/71514: Muito Alta | https://www.abebooks.com/9788574063423/Gato-Malhado-Andorinha-Sinha-8574063428/plp: Muito Alta | https://www.amazon.com/Gato-Malhado-Andorinha-Sinha/dp/8574063428: Alta | https://www.wook.pt/livro/o-gato-malhado-e-a-andorinha-sinha-jorge-amado/71514: Alta | https://www.amazon.com.br/gato-malhado-andorinha-Sinhá/dp/8574063428: Alta | ,Alta
FUNDAMENTAL I,HISTÓRIAS DA PRETA,HELOISA PIRES LIMA,COMPANHIA DAS LETRINHAS,1000,60,60000,9786581776664,6581776661,https://www.abebooks.com/9788574062426/Histórias-Preta-Heloisa-Pires-Lima-8574062421/plp: Alta | https://www.bbklivraria.com.br/historias-da-preta: Alta | https://quindim.com.br/selecoes/livro/Historias-da-Preta/Heloisa-Pires-Lima/9788574062426: Alta | https://www.companhiadasletras.com.br/livro/9786581776664/historias-da-preta-nova-edicao: Alta | https://www.amazon.com.br/Histórias-Preta-edição-Heloisa-Pires/dp/6581776661: Baixa | ,Alta
FUNDAMENTAL I,JOÃO E OS 10 PÉS DE FEIJÃO,"TORERO, JOSÉ ROBERTO; PIMENTA, MARCUS AURELIUS",COMPANHIA DAS LETRINHAS,1000,58,58000,978-85-380-0301-6,85-380-0301-7,,
FUNDAMENTAL I,JONAS E A SEREIA,ZELIA GATTAI,COMPANHIA DAS LETRINHAS,1000,53,53000,9788574064369,857406436X,https://www.abebooks.com/9788574064369/Jonas-sereia-Zélia-Gattai-857406436X/plp: Muito Alta | https://www.abebooks.com/9788501059437/Jonas-sereia-Portuguese-Edition-Gattai-8501059439/plp: Muito Alta | https://openlibrary.org/books/OL3978347M/Jonas_e_a_sereia: Alta | https://www.jorgeamado.org.br/loja/jonas-e-a-sereia/: Alta | https://www.bookfinder.com/isbn_search/: Baixa | ,Alta
FUNDAMENTAL I,"MALALA, A MENINA QUE QUERIA IR PARA A ESCOLA",ADRIANA CARRANCA,COMPANHIA DAS LETRINHAS,1000,50,50000,9788574066707,8574066702,https://www.skoob.com.br/livro/resenhas/436092/edicao:494097: Muito Alta | https://www.skoob.com.br/livro/resenhas/436092/mais-comentadas/: Muito Alta | https://www.book-info.com/isbn/85-7406-670-2.htm: Muito Alta | https://openlibrary.org/books/OL27499167M/Malala_a_Menina_que_Queria_Ir_Para_a_Escola: Muito Alta | https://www.amazon.com.br/Malala-menina-queria-para-escola/dp/8574066702: Alta | ,Muito Alta
FUNDAMENTAL I,MINHA QUERIDA ASSOMBRAÇÃO,REGINALDO PIRANDI,COMPANHIA DAS LETRINHAS,1000,53,53000,9788537618937,8537618939,,
FUNDAMENTAL I,MINHAS FÁBULAS DE ESOPO,"ASH, RUSSELL; HIGTON, BERNARD",COMPANHIA DAS LETRINHAS,1000,60,60000,978-85-380-0307-4,85-380-0307-7,,
FUNDAMENTAL I,NAS RUAS DO BRÁS,DRAUZIO VARELLA,COMPANHIA DAS LETRINHAS,1000,58,58000,9788537618384,8537618387,,
FUNDAMENTAL I,O CARTEIRO CHEGOU,ALLAN AHLBERG,COMPANHIA DAS LETRINHAS,1000,78,78000,9788574062859,8574062855,https://www.amazon.com/Carteiro-Chegou-Em-Portuguese-Brasil/dp/8574062855: Alta | ,Alta
FUNDAMENTAL I,O SEGREDO DA RUA 18,ZELIA GATTAI,COMPANHIA DAS LETRINHAS,1000,50,50000,978-8574063867,857406386X,https://www.amazon.com/Segredo-Rua-18-Portuguese-Brasil/dp/857406386X: Muito Alta | https://www.amazon.com.br/segredo-rua-18-transparência-obstáculo/dp/857406386X: Muito Alta | https://www.companhiadasletras.com.br/livro/9788574063867/o-segredo-da-rua-18: Alta | https://www.amazon.com.br/Segredo-Rua-18-Zelia-Gattai/dp/8501036927: Alta | https://www.bertrand.pt/livro/o-segredo-da-rua-18-zelia-gattai/66974: Alta | ,Alta
FUNDAMENTAL I,ÓCULOS DE COR,LILIA MORITZ SCHWARC,COMPANHIA DAS LETRINHAS,1000,60,60000,9788574069562,8574069566,https://www.skoob.com.br/oculos-de-cor-12248085ed122222890.html: Muito Alta | https://www.amazon.com.br/Óculos-cor-Ver-não-enxergar-ebook/dp/B0BF7LLQYX: Baixa | https://www.goodreads.com/book/show/63031465-culos-de-cor: Baixa | https://www.amazon.com.br/Óculos-cor-Ver-não-enxergar/dp/8574069566: Baixa | https://produto.mercadolivre.com.br/MLB-2918833025-livro-oculos-de-cor-_JM: Baixa | ,Baixa
FUNDAMENTAL I,PIPISTRELO DAS MIL CORES,ZELIA GATTAI,COMPANHIA DAS LETRINHAS,1000,53,53000,9788574064192.,857406419X,https://www.abebooks.com/9788574064192/Pipistrelo-Mil-Cores-Portuguese-Brasil-857406419X/plp: Alta | https://www.amazon.com.br/Pipistrelo-das-cores-Zélia-Gattai/dp/857406419X: Alta | https://www.goodreads.com/book/show/23658478-pipistrelo-das-mil-cores: Alta | https://www.wook.pt/livro/pipistrelo-das-mil-cores-zelia-gattai/64888: Alta | https://www.amazon.com.br/PIPISTRELO-CORES-LIVRO-BARATO-LTDA/dp/8501050938: Alta | ,Alta
FUNDAMENTAL I,ZECA ERA DIFERENTE,NORMAN ROCKWELL,COMPANHIA DAS LETRINHAS,1000,53,53000,9788574060675,,https://www.disal.com.br/produto/1536013-Zeca-Era-Diferente-Companhia-DasLet: Alta | https://www.jetplay.com.br/produto/zeca-era-diferente.html?srsltid=AfmBOorosIJEV9caRuw63CnOBjQWsNltC6jJoUPmHV2G6tt-DUSv9Z-g: Alta | ,Alta
FUNDAMENTAL I,A MENINA QUE ENGARRAFAVA NUVENS,TÂNIA COSTA GARCIA,COMPOR,1000,57,57000,9788586740969,,https://minhapequenafeminista.com.br/produto/a-menina-que-engarrafava-nuvens-tania-costa-garcia/: Alta | https://www.amazon.com.br/menina-que-engarrafava-nuvens/dp/8586740969: Baixa | ,Alta
FUNDAMENTAL I,AINDA UMA FLOR RESTA,ALEXANDRE AZEVEDO; ELISA BECHUATE,COMPOR,1000,60,60000,9786588584484,,https://www.amazon.com.br/Ainda-flor-resta-Alexandre-Azevedo/dp/B0BYTL2LBZ: Alta | https://loja.le.com.br/leitor-em-processo-a-partir-de-89-anos/ainda-uma-flor-resta: Alta | https://www.lojaquindim.com/product-page/ainda-uma-flor-resta-alexandre-azevedo-elisa-bechuate-e-edusá: Alta | https://produto.mercadolivre.com.br/MLB-4180419098-livro-ainda-uma-flor-resta-_JM: Alta | https://www.martinsfontespaulista.com.br/ainda-uma-flor-resta-1038012/p: Baixa | ,Alta
FUNDAMENTAL I,BANZO: O PÁSSARO MÁGICO,REGINA MIRANDA,COMPOR,1000,58,58000,978-8583490043,858349004X,https://www.amazon.com.br/Banzo-p%C3%A1ssaro-m%C3%A1gico-Regina-Miranda/dp/858349004X: Muito Alta | https://www.fnac.pt/mp18538525/Banzo-o-passaro-magico: Alta | ,Alta
FUNDAMENTAL I,CADA UM NO SEU LUGAR,DENISE ROCHAEL,COMPOR,1000,59,59000,9788583490159,8583490157,https://www.estantevirtual.com.br/livro/cada-um-no-seu-lugar-0HW-6374-000-BK: Alta | ,Alta
FUNDAMENTAL I,ELA NASCEU CLARICE,ANA RAPHA NUNES,COMPOR,1000,59,59000,978-85-366-6321-8,85-366-6321-6,,
FUNDAMENTAL I,HONORINA,REGINA MIRANDA,COMPOR,1000,57,57000,,8572835965; ISBN-13: 9788572835962.,https://www.bookfinder.com/isbn_search/: Baixa | https://isbnlookup.org/: Baixa | https://booktrapper.com/isbn-lookup: Baixa | https://freeisbn.com/isbn-converter/: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
FUNDAMENTAL I,O SAPULANTE VIAJANTE,EDUSÁ,COMPOR,1000,56,56000,978-8536912345,0321123456,,
FUNDAMENTAL I,SEMENTE DE URSO,FERNANDO A. PIRES,COMPOR,1000,60,60000,9786588584408,,https://www.overdrive.com/media/10246940/semente-de-urso: Alta | https://www.wook.pt/ebook/semente-de-urso-fernando-a-pires/29820249: Alta | https://www.fnac.com/livre-numerique/a18831945/Fernando-A-Pires-Semente-de-urso: Alta | https://www.overdrive.com/media/10246940/: Alta | https://fernandoantoniopires.blogspot.com/: Alta | ,Alta
FUNDAMENTAL I,SETE SAIAS DE FILÓ,ANDERSON DE OLIVEIRA,COMPOR,1000,59,59000,9786588584156,6588584156,https://www.amazon.com.br/Sete-Saias-Filó-Anderson-Oliveira/dp/6588584156: Alta | https://www.mercadolivre.com.br/sete-saias-de-filo-de-anderson-de-oliveira-editora-compor-capa-mole-em-portugus/p/MLB25526886: Alta | https://www.distribuidoracasadelivros.com.br/produto/Sete-saias-de-filo-9786588584156-0000134694.html: Baixa | https://loja.le.com.br/livro-infantojuvenil/sete-saias-de-filo: Baixa | https://www.extra.com.br/sete-saias-de-filo/p/1571654297: Muito Baixa | ,Baixa
FUNDAMENTAL I,TONTON E A MINHOCACÁ,SILVANA DE MENEZES,COMPOR,1000,59,59000,9786588584479,6588584474,https://www.amazon.com.br/Tonton-minhoCacá-Silvana-Menezes/dp/6588584474: Baixa | https://www.bookfinder.com/isbn_search/: Baixa | https://www.ean-search.org/isbn13-lookup.html: Baixa | https://isbnlookup.org/: Muito Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
FUNDAMENTAL I,A BOCA DO TAMANDUÁ,NANA LACERDA,CONHECIMENTO,1000,45,45000,978-85-98603-94-1,8598603945,https://www.calameo.com/books/000520749ad35ce768163: Alta | https://www.amazon.de/livro-boca-tamandua-nana-lacerda/dp/8598603945: Baixa | https://www.amazon.com.br/Boca-Do-Tamandua-Nana-Lacerda/dp/8598603945: Baixa | https://www.bookfinder.com/isbn_search/: Muito Baixa | https://booktrapper.com/isbn-lookup: Muito Baixa | ,Baixa
